term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Fall2014,70384,AC 0011,C01,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/02-12/08', 'location': 'DSB 105'}]",['TF 0800am-0915am 09/02-12/08 DSB 105'],Michael P.  Coyne,Michael P.  Coyne (P),0,31,-31
Fall2014,70385,AC 0011,C02,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/02-12/08', 'location': 'DSB 105'}]",['TF 0930am-1045am 09/02-12/08 DSB 105'],Michael P.  Coyne,Michael P.  Coyne (P),0,31,-31
Fall2014,70382,AC 0011,C03,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '09/02-12/08', 'location': 'DSB 105'}]",['TF 1230pm-0145pm 09/02-12/08 DSB 105'],Michael P.  Coyne,Michael P.  Coyne (P),0,31,-31
Fall2014,70291,AC 0011,C04,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/02-12/08', 'location': 'DSB 111'}]",['MR 1100am-1215pm 09/02-12/08 DSB 111'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),0,29,-29
Fall2014,70350,AC 0011,C05,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/02-12/08', 'location': 'DSB 111'}]",['MR 1230pm-0145pm 09/02-12/08 DSB 111'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),0,30,-30
Fall2014,70381,AC 0011,C06,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '09/02-12/08', 'location': 'DSB 110A'}]",['MR 0330pm-0445pm 09/02-12/08 DSB 110A'],Rebecca I.  Bloch,Rebecca I.  Bloch (P),0,31,-31
Fall2014,70383,AC 0011,G,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/02-12/08', 'location': 'DSB 111'}]",['MR 0930am-1045am 09/02-12/08 DSB 111'],Paul   Caster,Paul   Caster (P),30,31,-1
Fall2014,70391,AC 0011,H,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/02-12/08', 'location': 'DSB 110A'}]",['TF 0930am-1045am 09/02-12/08 DSB 110A'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),30,32,-2
Fall2014,71105,AC 0011,I,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/02-12/08', 'location': 'DSB 110A'}]",['TF 1100am-1215pm 09/02-12/08 DSB 110A'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),30,33,-3
Fall2014,71123,AC 0011,J,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/02-12/08', 'location': 'DSB 105'}]",['TF 0200pm-0315pm 09/02-12/08 DSB 105'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),30,32,-2
Fall2014,71208,AC 0011,K,3.000,Introduction to Financial Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '09/02-12/08', 'location': 'DSB 105'}]",['TF 0330pm-0445pm 09/02-12/08 DSB 105'],Jo Ann   Drusbosky,Jo Ann   Drusbosky (P),30,34,-4
Fall2014,71763,AC 0011,L,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '09/02-12/08', 'location': 'DSB 105'}]",['MR 1100am-1215pm 09/02-12/08 DSB 105'],Arleen N.  Kardos,Arleen N.  Kardos (P),30,31,-1
Fall2014,72615,AC 0011,M,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '09/02-12/08', 'location': 'DSB 105'}]",['MR 1230pm-0145pm 09/02-12/08 DSB 105'],Arleen N.  Kardos,Arleen N.  Kardos (P),30,31,-1
Fall2014,72616,AC 0011,N,3.000,Introduction to Financial Accounting,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '09/02-12/08', 'location': 'DSB 111'}]",['MW 0500pm-0615pm 09/02-12/08 DSB 111'],Scott M  Brenner,Scott M  Brenner (P),30,26,4
Fall2014,70387,AC 0011,O,3.000,Introduction to Financial Accounting,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '09/02-12/08', 'location': 'DSB 105'}]",['TR 0500pm-0615pm 09/02-12/08 DSB 105'],Kevin C.  Cassidy,Kevin C.  Cassidy (P),30,31,-1
Fall2014,70292,AC 0012,A,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '09/02-12/08', 'location': 'DSB 108'}]",['MR 0930am-1045am 09/02-12/08 DSB 108'],Bruce   Bradford,Bruce   Bradford (P),30,17,13
Fall2014,70070,AC 0203,A,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '09/02-12/08', 'location': 'DSB 110B'}]",['TF 0930am-1045am 09/02-12/08 DSB 110B'],Milo W.  Peck,Milo W.  Peck (P),28,28,0
Fall2014,70071,AC 0203,B,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '09/02-12/08', 'location': 'DSB 110B'}]",['TF 1100am-1215pm 09/02-12/08 DSB 110B'],Milo W.  Peck,Milo W.  Peck (P),28,28,0
Fall2014,73161,AC 0203,D,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '09/02-12/08', 'location': 'DSB 110B'}]",['TF 0200pm-0315pm 09/02-12/08 DSB 110B'],Milo W.  Peck,Milo W.  Peck (P),17,16,1
Fall2014,73162,AC 0203,E,3.000,Intermediate Accounting I,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '09/02-12/08', 'location': 'DSB 110B'}]",['TF 0800am-0915am 09/02-12/08 DSB 110B'],Milo W.  Peck,Milo W.  Peck (P),24,22,2
